Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-09-17,06:30-07:00,Fixed,ATM,Offline,On-Us,384649866,400353944,-15704078,4329,3144,7473
2026-09-17,06:30-07:00,Fixed,ATM,Offline,Off-Us,453570398,474351457,-20781059,4372,4343,8715
2026-09-17,06:30-07:00,Fixed,BCMS,Online,On-Us,320558072,336270744,-15712672,4048,3879,7927
2026-09-17,06:30-07:00,Fixed,BCMS,Online,Off-Us,709605530,720785956,-11180426,2562,4811,7373
2026-09-17,06:30-07:00,Fixed,ENET,Online,On-Us,357075233,378470077,-21394844,3399,2756,6155
2026-09-17,06:30-07:00,Fixed,ENET,Online,Off-Us,638924881,659635366,-20710485,3509,1528,5037
2026-09-17,06:30-07:00,Fixed,TELL,Offline,On-Us,713473293,735408435,-21935142,2995,2328,5323
2026-09-17,06:30-07:00,Fixed,TELL,Offline,Off-Us,247532353,260561758,-13029405,2240,2607,4847
2026-09-17,06:30-07:00,Saving,ATM,Offline,On-Us,633074286,645830542,-12756256,2647,3329,5976
2026-09-17,06:30-07:00,Saving,ATM,Offline,Off-Us,573349429,585882224,-12532795,4621,4524,9145
2026-09-17,06:30-07:00,Saving,BCMS,Online,On-Us,225749689,238051831,-12302142,3045,3177,6222
2026-09-17,06:30-07:00,Saving,BCMS,Online,Off-Us,616437456,638742156,-22304700,1178,3060,4238
2026-09-17,06:30-07:00,Saving,ENET,Online,On-Us,700156316,715702999,-15546683,4604,3553,8157
2026-09-17,06:30-07:00,Saving,ENET,Online,Off-Us,617218760,635653501,-18434741,1351,3975,5326
2026-09-17,06:30-07:00,Saving,TELL,Offline,On-Us,733267858,744460733,-11192875,4986,4334,9320
2026-09-17,06:30-07:00,Saving,TELL,Offline,Off-Us,646844575,665986369,-19141794,4231,1549,5780
2026-09-17,06:30-07:00,Current,ATM,Offline,On-Us,271799480,288211533,-16412053,3094,1776,4870
2026-09-17,06:30-07:00,Current,ATM,Offline,Off-Us,623421946,637567794,-14145848,1860,2824,4684
2026-09-17,06:30-07:00,Current,BCMS,Online,On-Us,769041668,783735309,-14693641,3401,2650,6051
2026-09-17,06:30-07:00,Current,BCMS,Online,Off-Us,359155598,379101525,-19945927,3013,910,3923
2026-09-17,06:30-07:00,Current,ENET,Online,On-Us,607721141,625612252,-17891111,2194,3042,5236
2026-09-17,06:30-07:00,Current,ENET,Online,Off-Us,665731717,685831021,-20099304,3080,4566,7646
2026-09-17,06:30-07:00,Current,TELL,Offline,On-Us,790348538,808991456,-18642918,1409,1855,3264
2026-09-17,06:30-07:00,Current,TELL,Offline,Off-Us,359535628,373044729,-13509101,2982,4057,7039
