Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-09-18,11:30-12:00,Fixed,ATM,Offline,On-Us,768419597,794268102,-25848505,1510,4600,6110
2026-09-18,11:30-12:00,Fixed,ATM,Offline,Off-Us,227233799,242710420,-15476621,2387,4132,6519
2026-09-18,11:30-12:00,Fixed,BCMS,Online,On-Us,254727273,279205350,-24478077,2361,4430,6791
2026-09-18,11:30-12:00,Fixed,BCMS,Online,Off-Us,326983263,342970254,-15986991,2817,4467,7284
2026-09-18,11:30-12:00,Fixed,ENET,Online,On-Us,418594456,439923195,-21328739,4184,4982,9166
2026-09-18,11:30-12:00,Fixed,ENET,Online,Off-Us,204304294,223553489,-19249195,4847,4134,8981
2026-09-18,11:30-12:00,Fixed,TELL,Offline,On-Us,231410345,260480403,-29070058,1730,2583,4313
2026-09-18,11:30-12:00,Fixed,TELL,Offline,Off-Us,664953502,683957487,-19003985,4677,4125,8802
2026-09-18,11:30-12:00,Saving,ATM,Offline,On-Us,268420381,296803858,-28383477,3598,2753,6351
2026-09-18,11:30-12:00,Saving,ATM,Offline,Off-Us,548735938,576383469,-27647531,2312,3608,5920
2026-09-18,11:30-12:00,Saving,BCMS,Online,On-Us,483865012,502368272,-18503260,2737,4520,7257
2026-09-18,11:30-12:00,Saving,BCMS,Online,Off-Us,221424613,239667198,-18242585,4656,2374,7030
2026-09-18,11:30-12:00,Saving,ENET,Online,On-Us,215955547,241225100,-25269553,865,1192,2057
2026-09-18,11:30-12:00,Saving,ENET,Online,Off-Us,522657520,537514749,-14857229,2083,4456,6539
2026-09-18,11:30-12:00,Saving,TELL,Offline,On-Us,480258791,510876376,-30617585,1878,4249,6127
2026-09-18,11:30-12:00,Saving,TELL,Offline,Off-Us,364273911,387812688,-23538777,3075,3480,6555
2026-09-18,11:30-12:00,Current,ATM,Offline,On-Us,295357750,324904657,-29546907,3215,2655,5870
2026-09-18,11:30-12:00,Current,ATM,Offline,Off-Us,452724254,480564423,-27840169,891,2985,3876
2026-09-18,11:30-12:00,Current,BCMS,Online,On-Us,323456467,352522362,-29065895,1175,3175,4350
2026-09-18,11:30-12:00,Current,BCMS,Online,Off-Us,616166100,640710199,-24544099,1639,4812,6451
2026-09-18,11:30-12:00,Current,ENET,Online,On-Us,293949013,310784121,-16835108,1529,3057,4586
2026-09-18,11:30-12:00,Current,ENET,Online,Off-Us,611417459,635746175,-24328716,1915,2177,4092
2026-09-18,11:30-12:00,Current,TELL,Offline,On-Us,401357199,417755745,-16398546,1639,3431,5070
2026-09-18,11:30-12:00,Current,TELL,Offline,Off-Us,290088176,319582124,-29493948,1420,4044,5464
