Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-09-17,07:30-08:00,Fixed,ATM,Offline,On-Us,529293664,540232793,-10939129,1546,1931,3477
2026-09-17,07:30-08:00,Fixed,ATM,Offline,Off-Us,359738140,376220044,-16481904,4528,2119,6647
2026-09-17,07:30-08:00,Fixed,BCMS,Online,On-Us,425635868,445738180,-20102312,2636,4131,6767
2026-09-17,07:30-08:00,Fixed,BCMS,Online,Off-Us,437340208,454008867,-16668659,2040,2192,4232
2026-09-17,07:30-08:00,Fixed,ENET,Online,On-Us,543534604,564106937,-20572333,2224,921,3145
2026-09-17,07:30-08:00,Fixed,ENET,Online,Off-Us,516484963,537923877,-21438914,1898,3340,5238
2026-09-17,07:30-08:00,Fixed,TELL,Offline,On-Us,292605071,313301938,-20696867,2067,1021,3088
2026-09-17,07:30-08:00,Fixed,TELL,Offline,Off-Us,648240244,665726087,-17485843,1914,4105,6019
2026-09-17,07:30-08:00,Saving,ATM,Offline,On-Us,297882692,312966665,-15083973,2632,4626,7258
2026-09-17,07:30-08:00,Saving,ATM,Offline,Off-Us,615335891,628813707,-13477816,1006,3788,4794
2026-09-17,07:30-08:00,Saving,BCMS,Online,On-Us,226506838,238983525,-12476687,1293,1783,3076
2026-09-17,07:30-08:00,Saving,BCMS,Online,Off-Us,525459135,545896530,-20437395,4484,889,5373
2026-09-17,07:30-08:00,Saving,ENET,Online,On-Us,379179895,389145206,-9965311,3362,1786,5148
2026-09-17,07:30-08:00,Saving,ENET,Online,Off-Us,477536589,491687266,-14150677,1246,1662,2908
2026-09-17,07:30-08:00,Saving,TELL,Offline,On-Us,339996175,361208426,-21212251,1973,3609,5582
2026-09-17,07:30-08:00,Saving,TELL,Offline,Off-Us,719602310,738948885,-19346575,3946,3785,7731
2026-09-17,07:30-08:00,Current,ATM,Offline,On-Us,733215753,743673660,-10457907,4380,2394,6774
2026-09-17,07:30-08:00,Current,ATM,Offline,Off-Us,792397778,807822025,-15424247,4655,1948,6603
2026-09-17,07:30-08:00,Current,BCMS,Online,On-Us,749204936,768187411,-18982475,4043,1069,5112
2026-09-17,07:30-08:00,Current,BCMS,Online,Off-Us,585775925,601445638,-15669713,1893,1582,3475
2026-09-17,07:30-08:00,Current,ENET,Online,On-Us,612979914,634447196,-21467282,4099,1694,5793
2026-09-17,07:30-08:00,Current,ENET,Online,Off-Us,304911606,324230280,-19318674,2359,3630,5989
2026-09-17,07:30-08:00,Current,TELL,Offline,On-Us,440924843,457379953,-16455110,4535,1142,5677
2026-09-17,07:30-08:00,Current,TELL,Offline,Off-Us,211930341,223618288,-11687947,1849,2547,4396
