HolidayDate,HolidayName,Applicability,CountryCode,SourceURL
2025-01-01,New Year's Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-02-12,Makha Bucha Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-04-07,Substitution for Chakri Memorial Day (Sunday 6th April 2025),Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-04-14,Songkran Festival,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-04-15,Songkran Festival,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-04-16,Substitution for Songkran Festival (Sunday 13th April 2025),Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-05-01,National Labor Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-05-05,Substitution for Coronation Day (Sunday 4th May 2025),Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-05-12,Substitution for Visakha Bucha Day (Sunday 11th May 2025),Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-06-03,H.M. Queen Suthida Bajrasudhabimalalakshana's Birthday,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-07-10,Asarnha Bucha Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-07-28,H.M. King Maha Vajiralongkorn Phra Vajiraklaochaoyuhua's Birthday,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-08-12,H.M. Queen Sirikit the Queen Mother's Birthday and Mother's Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-10-13,H.M. King Bhumibol Adulyadej the Great Memorial Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-10-23,H.M. King Chulalongkorn the Great Memorial Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-12-05,"H.M. King Bhumibol Adulyadej the Great's Birthday, National Day and Father's Day",Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-12-10,Constitution Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2025-12-31,New Year's Eve,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
