2026-09-18|06:15-06:30|S|POS |Offline|      270298121.35|      294098606.42|      -23800485.07|436|73|509
2026-09-18|06:15-06:30|L|TELL|Offline|      482858998.82|      500111302.49|      -17252303.66|210|411|621
2026-09-18|06:15-06:30|C|SIPI|Online|      261569784.38|      281213456.69|      -19643672.32|879|668|1547
2026-09-18|06:15-06:30|S|SYSG|Online|      152139243.99|      167432728.05|      -15293484.05|747|54|801
2026-09-18|06:15-06:30|C|FAAT|Online|      534716709.62|      558194439.91|      -23477730.29|611|657|1268
2026-09-18|06:15-06:30|S|OEFS|Online|      222360069.06|      234420137.51|      -12060068.45|305|624|929
2026-09-18|06:15-06:30|S|ENET|Online|      474068558.45|      486684595.40|      -12616036.95|342|286|628
2026-09-18|06:15-06:30|S|TFS |Online|      356684612.18|      367600018.08|      -10915405.90|261|869|1130
2026-09-18|06:15-06:30|S|BCMS|Online|      252611215.71|      266988668.09|      -14377452.38|526|428|954
2026-09-18|06:15-06:30|C|ENET|Online|      383319162.79|      397288300.24|      -13969137.44|864|81|945
2026-09-18|06:15-06:30|C|BCMS|Online|      307538762.73|      328801114.14|      -21262351.42|801|93|894
2026-09-18|06:15-06:30|S|ATM |Offline|      783894548.03|      799226420.10|      -15331872.07|873|164|1037
