2026-06-01|03:30-03:45|C|FAAT|Online|      592404415.57|      597681185.15|       -5276769.58|663|789|1452
2026-06-01|03:30-03:45|C|SIPI|Online|      631690731.30|      637634810.67|       -5944079.38|50|583|633
2026-06-01|03:30-03:45|S|ATM |Offline|       67163026.07|       72368131.25|       -5205105.18|602|654|1256
2026-06-01|03:30-03:45|C|BC  |Online|      165689800.70|      172633162.10|       -6943361.41|176|654|830
2026-06-01|03:30-03:45|S|TELL|Offline|      222453062.63|      226343938.95|       -3890876.32|754|636|1390
2026-06-01|03:30-03:45|L|TELL|Offline|      566926847.93|      572945294.50|       -6018446.57|366|577|943
2026-06-01|03:30-03:45|C|TFS |Online|      675957588.76|      680386846.38|       -4429257.62|169|525|694
2026-06-01|03:30-03:45|S|PMKF|Online|      708572176.41|      712719549.74|       -4147373.33|561|892|1453
2026-06-01|03:30-03:45|S|SCF |Online|      502120629.44|      508878760.01|       -6758130.57|529|397|926
2026-06-01|03:30-03:45|C|PMKF|Online|      539177930.07|      545735040.35|       -6557110.29|182|703|885
2026-06-01|03:30-03:45|S|OEFS|Online|      232417654.57|      239747144.33|       -7329489.76|669|706|1375
