2026-07-06|11:15-11:30|C|BC  |Online|       15291750.77|       13440016.39|        1851734.38|39|28|67
2026-07-06|11:15-11:30|C|BCMS|Online|        5845692.42|        5334783.66|         510908.76|734|576|1310
2026-07-06|11:15-11:30|C|FAAT|Online|       12311895.92|        7932024.43|        4379871.49|645|337|982
2026-07-06|11:15-11:30|C|SYSG|Online|       25099712.00|       19152742.47|        5946969.53|765|621|1386
2026-07-06|11:15-11:30|S|ATM |Offline|        2438545.94|        1227478.97|        1211066.97|510|365|875
2026-07-06|11:15-11:30|S|ENET|Online|      120244628.12|       76305019.50|       43939608.62|898|749|1647
2026-07-06|11:15-11:30|S|PMKF|Online|        8716798.88|        2184676.25|        6532122.63|660|644|1304
2026-07-06|11:15-11:30|S|POS |Offline|        2289429.54|        1994886.00|         294543.54|915|652|1567
2026-07-06|11:15-11:30|S|SCF |Online|        2558893.06|        1289580.23|        1269312.83|434|358|792
2026-07-06|11:15-11:30|S|SYSG|Online|       14019175.58|        7684990.22|        6334185.36|89|68|157
